Name,Price,Smartphone OS,IMG PATH,Screen Resolution,Screen size,Processor,GPU,RAM
Samsung Galaxy S9 Plus 256GB,"65,900","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S9 Plus 1.jpg,1440x2960 pixels (~ 531 pixels per inch),6.2 inches,"2.8 GHz, Octa Core, Exynos 9810",Mali-G72 MP18,6 GB
LG V40 ThinQ,"49,990","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/LG V40 ThinQ 1.jpg,1440x3120 pixels (~ 537 pixels per inch),6.4 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,6 GB
Oppo R17 Pro,"26,994",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo R17 Pro 1.jpg,1080x2340 pixels (~ 403 pixels per inch),6.4 inches,"2.2 GHz, Octa Core, Qualcomm Snapdragon 710",Adreno 616,8 GB
Samsung Galaxy S9 Plus 128GB,"56,900","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S9 Plus 1.jpg,1440x2960 pixels (~ 531 pixels per inch),6.2 inches,"2.8 GHz, Octa Core, Exynos 9810",Mali-G72 MP18,6 GB
"OnePlus 6T (8GB RAM, 128GB)","27,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 6T 1.jpg,1080x2340 pixels (~ 402 pixels per inch),6.41 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
Samsung Galaxy S9 Plus 64GB,"49,990","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S9 Plus 1.jpg,1440x2960 pixels (~ 531 pixels per inch),6.2 inches,"2.8 GHz, Octa Core, Exynos 9810",Mali-G72 MP18,6 GB
"OnePlus 6T (6GB RAM, 128GB)","29,999",Android 9.0 Pie,https://www.phonecurry.com/img/phones/OnePlus 6T 1.jpg,1080x2340 pixels (~ 402 pixels per inch),6.41 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,6 GB
Samsung Galaxy S9 256GB,"50,900","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S9 1.jpg,1440x2960 pixels (~ 568 pixels per inch),5.8 inches,"2.8 GHz, Octa Core, Exynos 9810",Mali-G72 MP18,4 GB
Samsung Galaxy S9 128GB,"49,900","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S9 1.jpg,1440x2960 pixels (~ 568 pixels per inch),5.8 inches,"2.8 GHz, Octa Core, Exynos 9810",Mali-G72 MP18,4 GB
"OnePlus 6 (8GB RAM, 256GB)","43,999","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/OnePlus 6 1.jpg,1080x2280 pixels (~ 402 pixels per inch),6.28 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
LG G7 Plus ThinQ,"34,990","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/LG G7 ThinQ 1.jpg,1440x3120 pixels (~ 563 pixels per inch),6.1 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,6 GB
"Xiaomi POCO F1 (8GB RAM, 256GB)","27,999","Android 8.1 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Xiaomi POCO F1 1.jpg,1080x2246 pixels (~ 403 pixels per inch),6.18 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845 with LiquidCool Technology",Adreno 630,8 GB
Samsung Galaxy S9 64GB,"47,900","Android 8.0 Oreo, Upgradeable to 9.0 Pie",https://www.phonecurry.com/img/phones/Samsung Galaxy S9 1.jpg,1440x2960 pixels (~ 568 pixels per inch),5.8 inches,"2.8 GHz, Octa Core, Exynos 9810",Mali-G72 MP18,4 GB
Apple iPhone 8 Plus 256GB,"68,499","Apple iOS 11, Upgradeable to 12.3",https://www.phonecurry.com/img/phones/Apple iPhone 8 Plus 1.jpg,1080x1920 pixels (~ 401 pixels per inch),5.5 inches,"Hexa Core, A11 Bionic with Neural Engine and M11 Motion Coprocessor",Apple GPU,3 GB
Oppo Find X,"58,990",Android 8.1 Oreo,https://www.phonecurry.com/img/phones/Oppo Find X 1.jpg,1080x2340 pixels (~ 403 pixels per inch),6.4 inches,"2.8 GHz, Octa Core, Qualcomm Snapdragon 845",Adreno 630,8 GB
